term_str,n,p,i,n_chars,cat_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,n_pos
abler,2,2.7070889183961583e-06,18.494826293510364,5,"{'NN', 'JJ'}",JJ,0,abler,abler,abl,2
ablest,2,2.7070889183961583e-06,18.494826293510364,6,{'JJS'},JJS,0,ablest,ablest,ablest,1
ablutions,1,1.3535444591980791e-06,19.494826293510364,9,{'NNS'},NNS,0,ablut,ablut,ablut,1
ably,2,2.7070889183961583e-06,18.494826293510364,4,{'RB'},RB,0,abli,abli,abl,1
abode,7,9.474811214386553e-06,16.68747137145276,5,{'NN'},NN,0,abod,abod,abod,1
abolish,2,2.7070889183961583e-06,18.494826293510364,7,{'VB'},VB,0,abolish,abolish,abol,1
abolished,1,1.3535444591980791e-06,19.494826293510364,9,{'JJ'},JJ,0,abolish,abolish,abol,1
abolition,2,2.7070889183961583e-06,18.494826293510364,9,{'NN'},NN,0,abolit,abolit,abolit,1
abominable,5,6.7677222959903955e-06,17.172898198623002,10,"{'NN', 'JJ'}",NN,0,abomin,abomin,abomin,2
abominate,3,4.060633377594237e-06,17.909863792789206,9,"{'VB', 'VBP'}",VB,0,abomin,abomin,abomin,2
aboriginal,1,1.3535444591980791e-06,19.494826293510364,10,{'JJ'},JJ,0,aborigin,aborigin,aborigin,1
aborigines,2,2.7070889183961583e-06,18.494826293510364,10,"{'NNS', 'JJ'}",JJ,0,aborigin,aborigin,aborigin,2
aboulia,1,1.3535444591980791e-06,19.494826293510364,7,{'JJ'},JJ,0,aboulia,aboulia,aboul,1
abound,1,1.3535444591980791e-06,19.494826293510364,6,{'VB'},VB,0,abound,abound,abound,1
abounding,1,1.3535444591980791e-06,19.494826293510364,9,{'NN'},NN,0,abound,abound,abound,1
about,1541,0.00208581201162424,8.905175146995578,5,"{'IN', 'NNP', 'NN', 'VBP', 'NNS', 'RB', 'JJ', 'RP'}",IN,1,about,about,about,8
aboutfor,1,1.3535444591980791e-06,19.494826293510364,8,{'JJ'},JJ,0,aboutfor,aboutfor,aboutf,1
above,162,0.0002192742023900888,12.154976290625738,5,"{'IN', 'NNP', 'NN', 'VBP', 'VB', 'NNS', 'RB', 'JJ', 'VBG'}",IN,1,abov,abov,abov,9
abroad,20,2.7070889183961582e-05,15.172898198623,6,"{'NN', 'RB', 'JJ'}",RB,0,abroad,abroad,abroad,3
absence,32,4.331342269433853e-05,14.494826293510362,7,{'NN'},NN,0,absenc,absenc,abs,1
absent,23,3.113152256155582e-05,14.97126433745335,6,"{'IN', 'NN', 'VBN', 'JJ', 'RP'}",JJ,0,absent,absent,abs,5
absolute,127,0.00017190014631815603,12.506141606738197,8,"{'IN', 'NN', 'VBP', 'VB', 'VBN', 'JJ'}",JJ,0,absolut,absolut,absolv,6
absolutely,62,8.39197564702809e-05,13.540629983123488,10,"{'NN', 'NNS', 'RB', 'JJ', 'RP'}",RB,0,absolut,absolut,absolv,5
absolutes,1,1.3535444591980791e-06,19.494826293510364,9,{'NN'},NN,0,absolut,absolut,absolv,1
absolutions,1,1.3535444591980791e-06,19.494826293510364,11,{'NN'},NN,0,absolut,absolut,absolv,1
absolved,3,4.060633377594237e-06,17.909863792789206,8,"{'VBN', 'JJ'}",VBN,0,absolv,absolv,absolv,2
absolver,1,1.3535444591980791e-06,19.494826293510364,8,{'NN'},NN,0,absolv,absolv,absolv,1
absorbed,5,6.7677222959903955e-06,17.172898198623002,8,"{'VBN', 'VBD'}",VBN,0,absorb,absorb,absorb,2
absorbing,2,2.7070889183961583e-06,18.494826293510364,9,"{'VBG', 'NNS'}",NNS,0,absorb,absorb,absorb,2
absorbs,3,4.060633377594237e-06,17.909863792789206,7,"{'JJ', 'VBP', 'VBZ'}",JJ,0,absorb,absorb,absorb,3
absorption,1,1.3535444591980791e-06,19.494826293510364,10,{'NN'},NN,0,absorpt,absorpt,absorb,1
abstain,33,4.466696715353661e-05,14.45043217415191,7,"{'VB', 'NN', 'RB', 'VBP'}",VB,0,abstain,abstain,abstain,4
abstained,5,6.7677222959903955e-06,17.172898198623002,9,"{'VBN', 'VBD'}",VBD,0,abstain,abstain,abstain,2
abstaining,5,6.7677222959903955e-06,17.172898198623002,10,"{'VBG', 'NN'}",VBG,0,abstain,abstain,abstain,2
abstains,1,1.3535444591980791e-06,19.494826293510364,8,{'NNS'},NNS,0,abstain,abstain,abstain,1
abstergent,3,4.060633377594237e-06,17.909863792789206,10,"{'NN', 'VBP', 'JJ'}",JJ,0,absterg,absterg,absterg,3
abstinence,2,2.7070889183961583e-06,18.494826293510364,10,{'NN'},NN,0,abstin,abstin,abstin,1
abstract,29,3.925278931674429e-05,14.636845298382791,8,"{'VB', 'NN', 'VBP', 'JJ'}",NN,0,abstract,abstract,abstract,4
abstracted,1,1.3535444591980791e-06,19.494826293510364,10,{'JJ'},JJ,0,abstract,abstract,abstract,1
abstraction,7,9.474811214386553e-06,16.68747137145276,11,"{'NNS', 'NN'}",NN,0,abstract,abstract,abstract,2
abstractions,6,8.121266755188474e-06,16.909863792789206,12,"{'NNS', 'NN', 'RB', 'PDT'}",NN,0,abstract,abstract,abstract,4
absurd,19,2.5717344724763503e-05,15.246898780066777,6,"{'NN', 'RB', 'JJ'}",JJ,0,absurd,absurd,absurd,3
absurdities,4,5.4141778367923166e-06,17.494826293510364,11,"{'NNS', 'NN'}",NN,0,absurd,absurd,absurd,2
absurdity,17,2.3010255806367345e-05,15.407363452260023,9,{'NN'},NN,0,absurd,absurd,absurd,1
abundance,19,2.5717344724763503e-05,15.246898780066777,9,"{'NN', 'RB', 'JJ'}",NN,0,abund,abund,abund,3
abundant,14,1.8949622428773105e-05,15.687471371452759,8,"{'POS', 'NN', 'VBP', 'JJ'}",JJ,0,abund,abund,abund,4
abundantly,5,6.7677222959903955e-06,17.172898198623002,10,{'RB'},RB,0,abundantli,abund,abund,1
abuse,9,1.2181900132782712e-05,16.324901292068052,5,"{'VB', 'NN', 'VBP', 'IN'}",VB,0,abus,abus,abus,4
abused,1,1.3535444591980791e-06,19.494826293510364,6,{'IN'},IN,0,abus,abus,abus,1
abuses,2,2.7070889183961583e-06,18.494826293510364,6,{'VBZ'},VBZ,0,abus,abus,abus,1
abusing,7,9.474811214386553e-06,16.68747137145276,7,{'VBG'},VBG,0,abus,abus,abus,1
abusive,5,6.7677222959903955e-06,17.172898198623002,7,{'JJ'},JJ,0,abus,abus,abud,1
abyss,1,1.3535444591980791e-06,19.494826293510364,5,{'NN'},NN,0,abyss,abyss,abyss,1
academy,2,2.7070889183961583e-06,18.494826293510364,7,{'NNP'},NNP,0,academi,academi,academy,1
acarnanian,1,1.3535444591980791e-06,19.494826293510364,10,{'JJ'},JJ,0,acarnanian,acarnanian,acarn,1
accent,1,1.3535444591980791e-06,19.494826293510364,6,{'NN'},NN,0,accent,accent,acc,1
accents,3,4.060633377594237e-06,17.909863792789206,7,"{'NN', 'IN'}",NN,0,accent,accent,acc,2
accept,52,7.03843118783001e-05,13.794386575369272,6,"{'VB', 'IN', 'VBP', 'VBD'}",VB,0,accept,accept,acceiv,4
acceptable,14,1.8949622428773105e-05,15.687471371452759,10,{'JJ'},JJ,0,accept,accept,acceiv,1
acceptably,3,4.060633377594237e-06,17.909863792789206,10,{'RB'},RB,0,accept,accept,acceiv,1
acceptance,2,2.7070889183961583e-06,18.494826293510364,10,{'NN'},NN,0,accept,accept,acceiv,1
accepted,11,1.488898905117887e-05,16.035394674873068,8,"{'VBN', 'RB', 'VBD', 'JJ'}",VBN,0,accept,accept,acceiv,4
accepting,4,5.4141778367923166e-06,17.494826293510364,9,{'VBG'},VBG,0,accept,accept,acceiv,1
accepts,2,2.7070889183961583e-06,18.494826293510364,7,"{'VBP', 'VBZ'}",VBP,0,accept,accept,acceiv,2
accessible,2,2.7070889183961583e-06,18.494826293510364,10,{'JJ'},JJ,0,access,access,access,1
accessories,1,1.3535444591980791e-06,19.494826293510364,11,{'NNS'},NNS,0,accessori,accessori,access,1
accident,9,1.2181900132782712e-05,16.324901292068052,8,"{'NN', 'JJ'}",NN,0,accid,accid,accid,2
accidental,5,6.7677222959903955e-06,17.172898198623002,10,"{'NN', 'VBP', 'JJ'}",JJ,0,accident,accident,accid,3
accidents,2,2.7070889183961583e-06,18.494826293510364,9,"{'NNS', 'NN'}",NN,0,accid,accid,accid,2
accidentscomes,1,1.3535444591980791e-06,19.494826293510364,14,{'NNS'},NNS,0,accidentscom,accidentscom,accidentscom,1
accommodate,2,2.7070889183961583e-06,18.494826293510364,11,{'VB'},VB,0,accommod,accommod,accommod,1
accompanied,19,2.5717344724763503e-05,15.246898780066777,11,"{'VBN', 'VBD'}",VBN,0,accompani,accompani,accompany,2
accompanies,2,2.7070889183961583e-06,18.494826293510364,11,{'VBZ'},VBZ,0,accompani,accompani,accompany,1
accompaniment,2,2.7070889183961583e-06,18.494826293510364,13,{'NN'},NN,0,accompani,accompani,accompany,1
accompaniments,3,4.060633377594237e-06,17.909863792789206,14,{'NNS'},NNS,0,accompani,accompani,accompany,1
accompany,18,2.4363800265565424e-05,15.32490129206805,9,"{'VB', 'VBP', 'VBZ'}",VBP,0,accompani,accompani,accompany,3
accompanying,9,1.2181900132782712e-05,16.324901292068052,12,"{'VBG', 'NN'}",VBG,0,accompani,accompani,accompany,2
accomplice,1,1.3535444591980791e-06,19.494826293510364,10,{'NN'},NN,0,accomplic,accomplic,accompl,1
accomplices,1,1.3535444591980791e-06,19.494826293510364,11,{'NNS'},NNS,0,accomplic,accomplic,accompl,1
accomplish,12,1.6242533510376947e-05,15.909863792789208,10,"{'VB', 'VBP'}",VB,0,accomplish,accomplish,accompl,2
accomplished,51,6.903076741910203e-05,13.822400951538867,12,"{'IN', 'NN', 'NNS', 'VB', 'VBN', 'RB', 'JJ'}",JJ,0,accomplish,accomplish,accompl,7
accomplishes,6,8.121266755188474e-06,16.909863792789206,12,"{'NNS', 'NN', 'VBZ'}",VBZ,0,accomplish,accomplish,accompl,3
accomplishing,6,8.121266755188474e-06,16.909863792789206,13,"{'VBG', 'VB'}",VBG,0,accomplish,accomplish,accompl,2
accomplishment,12,1.6242533510376947e-05,15.909863792789208,14,{'NN'},NN,0,accomplish,accomplish,accompl,1
accomplishmentanein,1,1.3535444591980791e-06,19.494826293510364,19,{'NN'},NN,0,accomplishmentanein,accomplishmentanein,accomplishmentanein,1
accomplishments,6,8.121266755188474e-06,16.909863792789206,15,"{'NNS', 'NN'}",NN,0,accomplish,accomplish,accompl,2
accord,28,3.789924485754621e-05,14.687471371452759,6,"{'VB', 'NN', 'VBP'}",NN,0,accord,accord,accord,3
accordance,50,6.767722295990395e-05,13.850970103735639,10,"{'NN', 'VBZ'}",NN,0,accord,accord,accord,2
accordant,1,1.3535444591980791e-06,19.494826293510364,9,{'JJ'},JJ,0,accord,accord,accord,1
accorded,1,1.3535444591980791e-06,19.494826293510364,8,{'VBN'},VBN,0,accord,accord,accord,1
according,348,0.00047103347180093154,11.051882797661635,9,{'VBG'},VBG,0,accord,accord,accord,1
accordingly,34,4.602051161273469e-05,14.407363452260023,11,"{'IN', 'NNP', 'NN', 'VBP', 'NNS', 'VB', 'RB', 'JJ', 'RP'}",RB,0,accordingli,accord,accord,9
accords,3,4.060633377594237e-06,17.909863792789206,7,{'NNS'},NNS,0,accord,accord,accord,1
accosted,1,1.3535444591980791e-06,19.494826293510364,8,{'VBD'},VBD,0,accost,accost,accost,1
accoucheur,1,1.3535444591980791e-06,19.494826293510364,10,{'VBZ'},VBZ,0,accoucheur,accoucheur,accouch,1
account,108,0.00014618280159339254,12.739938791346894,7,"{'VB', 'NN', 'VBP', 'JJ'}",NN,0,account,account,account,4
accounted,4,5.4141778367923166e-06,17.494826293510364,9,{'VBN'},VBN,0,account,account,account,1
accounting,1,1.3535444591980791e-06,19.494826293510364,10,{'NN'},NN,0,account,account,account,1
accounts,3,4.060633377594237e-06,17.909863792789206,8,"{'NNS', 'NN', 'VBZ'}",NN,0,account,account,account,3
accretions,1,1.3535444591980791e-06,19.494826293510364,10,{'NN'},NN,0,accret,accret,accret,1
accrue,2,2.7070889183961583e-06,18.494826293510364,6,{'VB'},VB,0,accru,accru,accru,1
accrued,1,1.3535444591980791e-06,19.494826293510364,7,{'VBN'},VBN,0,accru,accru,accru,1
accrues,3,4.060633377594237e-06,17.909863792789206,7,{'NNS'},NNS,0,accru,accru,accru,1
accruing,2,2.7070889183961583e-06,18.494826293510364,8,{'VBG'},VBG,0,accru,accru,accru,1
accumulate,1,1.3535444591980791e-06,19.494826293510364,10,{'RB'},RB,0,accumul,accumul,accum,1
accumulated,1,1.3535444591980791e-06,19.494826293510364,11,{'VBN'},VBN,0,accumul,accumul,accum,1
accumulating,1,1.3535444591980791e-06,19.494826293510364,12,{'VBG'},VBG,0,accumul,accumul,accum,1
accumulation,3,4.060633377594237e-06,17.909863792789206,12,{'NN'},NN,0,accumul,accumul,accum,1
accuracy,7,9.474811214386553e-06,16.68747137145276,8,{'NN'},NN,0,accuraci,accuraci,acc,1
accurate,6,8.121266755188474e-06,16.909863792789206,8,"{'RB', 'JJ'}",JJ,0,accur,accur,acc,2
accurately,7,9.474811214386553e-06,16.68747137145276,10,"{'NNS', 'NN', 'RB'}",RB,0,accur,accur,acc,3
accursed,1,1.3535444591980791e-06,19.494826293510364,8,{'JJ'},JJ,0,accurs,accurs,accurs,1
accusation,19,2.5717344724763503e-05,15.246898780066777,10,{'NN'},NN,0,accus,accus,accus,1
accusations,9,1.2181900132782712e-05,16.324901292068052,11,{'NNS'},NNS,0,accus,accus,accus,1
accusationthe,1,1.3535444591980791e-06,19.494826293510364,13,{'NN'},NN,0,accusationth,accusationth,accusationth,1
accuse,20,2.7070889183961582e-05,15.172898198623,6,"{'VB', 'IN', 'VBP'}",VB,0,accus,accus,accus,3
accused,13,1.7596077969575026e-05,15.794386575369272,7,"{'VB', 'VBN', 'VBD', 'JJ'}",VBN,0,accus,accus,accus,4
accusehimself,1,1.3535444591980791e-06,19.494826293510364,13,{'VB'},VB,0,accusehimself,accusehimself,accusehimself,1
accuser,6,8.121266755188474e-06,16.909863792789206,7,"{'NNS', 'NN'}",NN,0,accus,accus,accus,2
accusers,14,1.8949622428773105e-05,15.687471371452759,8,"{'NNS', 'NN'}",NN,0,accus,accus,accus,2
accuses,2,2.7070889183961583e-06,18.494826293510364,7,{'VBZ'},VBZ,0,accus,accus,accus,1
accusing,5,6.7677222959903955e-06,17.172898198623002,8,{'VBG'},VBG,0,accus,accus,accus,1
accustom,2,2.7070889183961583e-06,18.494826293510364,8,{'VB'},VB,0,accustom,accustom,accustom,1
accustomed,34,4.602051161273469e-05,14.407363452260023,10,"{'NN', 'VBN', 'VBD', 'JJ'}",VBN,0,accustom,accustom,accustom,4
accustoming,1,1.3535444591980791e-06,19.494826293510364,11,{'VBG'},VBG,0,accustom,accustom,accustom,1
ace,2,2.7070889183961583e-06,18.494826293510364,3,{'NN'},NN,0,ace,ace,ac,1
acesimbrotus,1,1.3535444591980791e-06,19.494826293510364,12,{'NNP'},NNP,0,acesimbrotu,acesimbrotus,acesimbrot,1
achaeans,10,1.3535444591980791e-05,16.172898198623002,8,"{'NNP', 'NNPS'}",NNPS,0,achaean,achaean,acha,2
achaemenes,3,4.060633377594237e-06,17.909863792789206,10,"{'NNS', 'NNP'}",NNP,0,achaemen,achaemen,achaem,2
acharnian,1,1.3535444591980791e-06,19.494826293510364,9,{'NNP'},NNP,0,acharnian,acharnian,acharn,1
achelous,2,2.7070889183961583e-06,18.494826293510364,8,{'NNP'},NNP,0,achel,achel,achel,1
acheraton,1,1.3535444591980791e-06,19.494826293510364,9,{'NN'},NN,0,acheraton,acheraton,acheraton,1
acheron,2,2.7070889183961583e-06,18.494826293510364,7,{'NNP'},NNP,0,acheron,acheron,acheron,1
acherusian,4,5.4141778367923166e-06,17.494826293510364,10,{'JJ'},JJ,0,acherusian,acherusian,acherus,1
aches,1,1.3535444591980791e-06,19.494826293510364,5,{'NNS'},NNS,0,ach,ach,ach,1
achieve,1,1.3535444591980791e-06,19.494826293510364,7,{'VB'},VB,0,achiev,achiev,achiev,1
achieved,2,2.7070889183961583e-06,18.494826293510364,8,{'VBN'},VBN,0,achiev,achiev,achiev,1
achievement,1,1.3535444591980791e-06,19.494826293510364,11,{'NN'},NN,0,achiev,achiev,achiev,1
achilles,33,4.466696715353661e-05,14.45043217415191,8,"{'NNPS', 'NNP', 'VBZ', 'VB', 'NNS'}",NNP,0,achil,achill,achil,5
achthedon,1,1.3535444591980791e-06,19.494826293510364,9,{'JJ'},JJ,0,achthedon,achthedon,achthedon,1
acid,15,2.0303166887971187e-05,15.587935697901845,4,"{'NNP', 'NN', 'VBP', 'NNS', 'RB', 'JJ', 'RP'}",NN,0,acid,acid,acid,7
acidity,1,1.3535444591980791e-06,19.494826293510364,7,{'NN'},NN,0,acid,acid,acid,1
acknowledge,92,0.00012452609024622328,12.97126433745335,11,"{'NN', 'VBP', 'VBZ', 'VB', 'JJ'}",VB,0,acknowledg,acknowledg,acknowledg,5
acknowledged,59,7.985912309268666e-05,13.612183244148522,12,"{'VBP', 'VBD', 'VBZ', 'VB', 'VBN', 'RB', 'JJ'}",VBN,0,acknowledg,acknowledg,acknowledg,7
acknowledgeddid,1,1.3535444591980791e-06,19.494826293510364,15,{'VBP'},VBP,0,acknowledgeddid,acknowledgeddid,acknowledgeddid,1
acknowledgement,1,1.3535444591980791e-06,19.494826293510364,15,{'NN'},NN,0,acknowledg,acknowledg,acknowledg,1
acknowledges,9,1.2181900132782712e-05,16.324901292068052,12,"{'NN', 'VBZ'}",VBZ,0,acknowledg,acknowledg,acknowledg,2
acknowledgethat,1,1.3535444591980791e-06,19.494826293510364,15,{'VB'},VB,0,acknowledgethat,acknowledgethat,acknowledgeth,1
acknowledging,10,1.3535444591980791e-05,16.172898198623002,13,"{'VBG', 'VBP'}",VBG,0,acknowledg,acknowledg,acknowledg,2
acknowledgment,2,2.7070889183961583e-06,18.494826293510364,14,{'NN'},NN,0,acknowledg,acknowledg,acknowledg,1
acorns,2,2.7070889183961583e-06,18.494826293510364,6,{'NNS'},NNS,0,acorn,acorn,acorn,1
acquaint,1,1.3535444591980791e-06,19.494826293510364,8,{'VB'},VB,0,acquaint,acquaint,acquaint,1
