term_str,n,p,i,n_chars,cat_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,n_pos,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,df,idf,dfidf
very,1440,0.0019491040212452,9.002973197180689,4,"{'NNP', 'POS', 'CD', 'JJ', 'VB', 'NN', 'RB'}",RB,1,veri,veri,very,7,0.5697665852269181,756.080258596121,0.18627326361713806,1.9558692679799496,1327,3.9117385359598993,5190.877037218786
socrates,5337,0.0072238667787401,7.113012997522048,8,"{'NNP', 'VBP', 'POS', 'IN', 'MD', 'WDT', 'PRP', 'PDT', 'VB', 'JJ', 'NNS', 'NN', 'VBZ', 'NNPS', 'RB', 'VBN'}",NNP,0,socrat,socrat,socr,16,0.1426605771076709,738.125825955083,0.09279175488787388,0.9743134263226758,5174,1.9486268526453516,10082.19533558705
and,34904,0.0472441158038497,4.403721535133863,3,"{'NNP', 'IN', 'VBP', 'POS', 'MD', 'CD', 'PRP', 'RP', 'JJ', 'VB', 'NNS', 'NN', 'CC', 'RB'}",CC,1,and,and,and,14,0.0793173085458318,708.3828826228255,0.06772996908830252,1.1610851843709002,8931,1.1610851843709002,10369.65178161651
is,15046,0.0203654299330942,5.61773391848295,2,"{'NNP', 'VBP', 'POS', 'IN', 'MD', 'VBG', 'CD', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'VBZ', 'RB', 'VBN'}",VBZ,1,is,is,is,15,0.10251225260161875,694.520511375959,0.0693193760089554,0.7798429801007482,6775,1.5596859602014963,10566.872380365137
of,29147,0.0394517603522464,4.663766514509497,2,"{'NNP', 'VBP', 'IN', 'POS', 'CD', 'RP', 'PRP', 'JJ', 'VB', 'NN', 'VBZ', 'RB'}",IN,1,of,of,of,12,0.08543433325389072,689.7113723586632,0.06701548794710353,0.6534010074842594,8073,1.3068020149685189,10549.812666840853
what,4027,0.0054507235371906,7.519336536564609,4,"{'NNP', 'IN', 'VBP', 'POS', 'WDT', 'WP', 'CD', 'JJ', 'VB', 'NNS', 'NN', 'VBZ', 'RB', 'DT'}",WP,1,what,what,what,14,0.2121601966521714,658.5452504083464,0.10329916727472942,2.6857783491429648,3104,2.6857783491429648,8336.655995739762
you,9140,0.0123713963570704,6.336847843564931,3,"{'NNP', 'POS', 'VBP', 'VBG', 'IN', 'PRP', 'RP', 'CD', 'VB', 'JJ', 'PDT', 'NNS', 'JJR', 'NN', 'VBZ', 'CC', 'RB', 'VBN'}",PRP,1,you,you,you,18,0.14007817759378557,645.340164174561,0.11021246399613968,1.058039654362941,4607,2.116079308725882,9748.777375300137
not,9257,0.0125297610587966,6.318497286892768,3,"{'VBP', 'IN', 'MD', 'JJ', 'VBD', 'NNP', 'CC', 'FW', 'VBN', 'RP', 'PDT', 'VB', 'NNS', 'NN', 'VBZ', 'RB', 'DT', 'POS', 'CD'}",RB,1,not,not,not,19,0.11575589753440584,643.0240108036281,0.061537333168454604,0.9230599975268191,5555,1.8461199950536382,10255.19657252296
that,12272,0.0166106976032788,5.91174352600743,4,"{'NNP', 'IN', 'POS', 'VBP', 'WDT', 'WP', 'CD', 'PRP', 'JJ', 'VB', 'RP', 'VBD', 'NNS', 'NN', 'CC', 'RB', 'DT', 'VBN'}",IN,1,that,that,that,18,0.09067277290855032,593.9973353239114,0.06068648143565983,0.5360639193483285,6551,1.6081917580449856,10535.264206952701
said,2764,0.0037411968852234,8.062284393122106,4,"{'NNP', 'VBP', 'MD', 'VB', 'JJ', 'VBD', 'NNS', 'NN', 'VBZ', 'RB', 'VBN'}",VBD,0,said,said,said,11,0.23359485733565424,586.0894970551526,0.13012149721395305,0.9975981453069733,2509,2.99279443592092,7508.921239725589
to,20722,0.0280481482835025,5.1559506613788,2,"{'NNP', 'POS', 'IN', 'VBP', 'MD', 'CD', 'JJ', 'TO', 'VB', 'NNS', 'NN', 'VBZ', 'RB'}",TO,1,to,to,to,13,0.08205540252676495,570.8594353786965,0.06406069835633402,0.7607207929814664,6957,1.5214415859629329,10584.669113544123
clearly,360,0.0004872760053113,11.002973197180689,7,"{'NNP', 'VBP', 'VB', 'JJ', 'NNS', 'NN', 'VBZ', 'RB'}",RB,0,clearli,clear,clear,8,1.586492457290462,558.4453449662437,0.5826259572692796,5.826259572692796,352,5.826259572692796,2050.843369587864
young,717,0.000970491377245,10.00899698480846,5,"{'NNP', 'IN', 'JJ', 'NNS', 'LS', 'NN', 'VBZ', 'RB', 'VBN'}",NNP,0,young,young,young,9,0.7252138652230744,488.0689312951307,0.698746928102825,1.6304094989065918,673,4.891228496719775,3291.796778292409
be,10076,0.0136383139708798,6.196190886776122,2,"{'NNP', 'VBP', 'POS', 'IN', 'MD', 'CD', 'VB', 'JJ', 'NN', 'VBZ', 'RB'}",VB,1,be,be,be,11,0.09169704520792486,472.6982680468546,0.06303014448627813,0.6513114930248739,5155,1.9539344790746218,10072.532239629676
do,3149,0.0042623115020147,7.874148251374954,2,"{'NNP', 'VBP', 'POS', 'IN', 'MD', 'CD', 'VB', 'JJ', 'NN', 'VBZ', 'CC'}",VBP,1,do,do,do,11,0.1846828441914068,465.7701330507312,0.09951128770006243,1.4926693155009365,2522,2.985338631001873,7529.024027386724
impossible,165,0.0002233348357676,12.128504079264548,10,"{'NNP', 'JJ', 'VB', 'NNS', 'NN', 'RB', 'VBN'}",JJ,0,imposs,imposs,imposs,7,2.915271515133353,457.6976278759367,2.330356814146155,6.991070442438466,157,6.991070442438466,1097.598059462839
hermogenes,336,0.0004547909382905,11.102508870731604,10,"{'NNP', 'VBP', 'VB', 'NN', 'VBN'}",NNP,0,hermogen,hermogen,hermog,5,1.371403916491722,456.6775041917434,1.1812625648517663,2.9531564121294154,333,5.906312824258831,1966.8021704781906
no,2493,0.0033743863367808,8.211159126018863,2,"{'NNP', 'IN', 'POS', 'VBP', 'CD', 'VB', 'UH', 'VBD', 'NNS', 'NN', 'VBZ', 'CC', 'RB', 'DT', 'VBN'}",DT,1,no,no,no,15,0.24169912480538092,455.11945200853114,0.06428063974935593,3.406873906715864,1883,3.406873906715864,6415.143566345972
are,7546,0.0102138464891087,6.613329908700254,3,"{'NNP', 'VBP', 'IN', 'PRP', 'CD', 'JJ', 'VB', 'NNS', 'NN', 'VBZ', 'RB', 'VBN'}",VBP,1,are,are,ar,12,0.11195033798253659,440.076778609352,0.07328157946581246,1.1725052714529993,3931,2.3450105429059986,9218.23644416348
a,11450,0.015498084057818,6.011766315638695,1,"{'NNP', 'POS', 'VBP', 'IN', 'CD', 'PDT', 'JJ', 'UH', 'CC', 'RBR', 'DT'}",DT,1,a,a,a,11,0.08684528427874495,433.09743269809934,0.06255420948953057,1.000867351832489,4987,2.001734703664978,9982.650967177246
in,13321,0.0180305657409776,5.793411525178738,2,"{'NNP', 'VBP', 'IN', 'POS', 'CD', 'JJ', 'VB', 'NN', 'FW', 'RB'}",IN,1,in,in,in,10,0.0794315354867444,423.8466733572677,0.06013099705722656,0.9520741200727538,5336,1.9041482401455077,10160.53500941643
so,1542,0.0020871655560834,8.90423924359533,2,"{'NNP', 'IN', 'VBP', 'CD', 'PDT', 'VB', 'JJ', 'VBD', 'NNS', 'JJR', 'NN', 'VBZ', 'RBR', 'RB', 'VBN'}",RB,1,so,so,so,15,0.3129353175652028,415.89103704415237,0.07819131604107836,1.954782901026959,1329,3.909565802053918,5195.812950929657
they,5693,0.0077057286062146,7.019852909119217,4,"{'NNP', 'IN', 'POS', 'VBP', 'WDT', 'PRP', 'JJ', 'VB', 'NNS', 'NN', 'RB', 'VBN'}",PRP,1,they,they,they,12,0.15766416160709934,405.0392311686356,0.08218611156747987,1.4793500082146378,2569,2.9587000164292756,7600.900342206809
we,5200,0.00703843118783,7.150530385594546,2,"{'NNP', 'POS', 'VBP', 'PRP', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'VBZ', 'VBN'}",PRP,1,we,we,we,11,0.135560462655681,403.1568159379954,0.09158340864258913,1.373751129638837,2974,2.747502259277674,8171.071719091802
callicles,305,0.0004128310600554,11.242160861060114,9,"{'NNP', 'VB', 'NNS', 'NN', 'RB', 'VBN'}",NNP,0,callicl,callicl,callic,6,1.3439660543343028,389.7501557569486,0.8722545859021654,3.0528910506575793,290,6.1057821013151585,1770.676809381396
exactly,121,0.0001637788795629,12.57596305623577,7,"{'NNP', 'RB', 'NN', 'JJ'}",NNP,0,exactli,exact,exact,4,3.224203640066549,386.9044368079863,3.689400297860787,7.378800595721574,120,7.378800595721574,885.4560714865889
quite,541,0.0007322675524261,10.415341509683548,5,"{'NNP', 'VBP', 'PDT', 'JJ', 'VB', 'VBD', 'NN', 'RB'}",RB,0,quit,quit,quit,8,0.7195830187790327,380.6594169341087,0.3741833770868619,2.6192836396080335,529,5.238567279216067,2771.2020907052993
meno,255,0.0003451538370955,11.500472856651506,4,"{'NNP', 'PDT', 'NNS', 'NN', 'VBN'}",NNP,0,meno,meno,meno,5,1.508529751526518,375.62390813010273,1.2651378518524024,3.1628446296310058,249,6.3256892592620115,1575.096625556241
how,1140,0.0015430406834858,9.34000818445826,3,"{'NNP', 'VBP', 'CD', 'PRP', 'VB', 'JJ', 'VBD', 'NNS', 'WRB', 'NN'}",WRB,1,how,how,how,10,0.37289076256607917,375.50099790404147,0.11146146267215452,4.309843223323308,1007,4.309843223323308,4340.012125886571
polus,273,0.000369517637361,11.402069152590512,5,"{'NNP', 'VB', 'JJ', 'NNS', 'NN'}",NNP,0,polu,polus,pol,5,1.4009678239590448,372.6574411731052,1.0384014593048172,6.230408755828903,266,6.230408755828903,1657.2887290504882
will,4713,0.0063792550362005,7.292396327495011,4,"{'NNP', 'VBP', 'IN', 'POS', 'MD', 'CD', 'PRP', 'JJ', 'VB', 'VBD', 'WRB', 'NN', 'VBZ', 'RB'}",MD,1,will,will,wil,14,0.12646319314186322,359.4083949091754,0.08037143863106606,1.4065001760436562,2842,2.8130003520873124,7994.547000632142
it,2028,0.0027449881632537,8.508984356507023,2,"{'VBP', 'POS', 'IN', 'PRP', 'PDT', 'JJ', 'VB', 'NNS', 'NN', 'RB'}",PRP,1,it,it,it,10,0.2512373949571022,357.76205041891205,0.10885593601039129,1.9049788801818475,1424,3.809957760363695,5425.379850757901
which,8568,0.0115971689264091,6.430083528760108,5,"{'NNP', 'VBP', 'IN', 'WDT', 'WP', 'PRP', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'VBZ', 'RB', 'VBN'}",WDT,1,which,which,which,14,0.07627294099391967,330.0330156806867,0.058841060957552045,0.7355132619694005,4327,2.2065397859082014,9547.697653624788
good,2266,0.0030671317445428,8.348894147689848,4,"{'NNP', 'VBP', 'POS', 'IN', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'VBZ', 'RB', 'VBN'}",JJ,0,good,good,good,12,0.20416562870626112,325.23584652907334,0.09600422736328375,3.648160639804783,1593,3.648160639804783,5811.519899209019
course,262,0.0003546286483098,11.461403291972912,6,"{'NNS', 'NN'}",NN,0,cours,cours,cours,2,1.280960662101571,318.9592048632905,1.2651378518524024,3.1628446296310058,249,6.3256892592620115,1575.096625556241
then,2975,0.0040267947661142,7.956152340427695,4,"{'NNP', 'IN', 'VBP', 'POS', 'EX', 'CD', 'RP', 'VB', 'JJ', 'VBD', 'NNS', 'NN', 'VBZ', 'RB', 'VBN'}",RB,1,then,then,then,15,0.11727949539519823,305.39580600909727,0.08164381828234603,1.4695887290822285,2604,2.939177458164457,7653.618101060246
or,7085,0.0095898624934183,6.704274155704982,2,"{'NNP', 'IN', 'VBP', 'MD', 'RP', 'CD', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'CC', 'VBZ', 'FW', 'RB'}",CC,1,or,or,or,15,0.09017364355542512,302.8030950591198,0.06430761690982656,1.2861523381965312,3358,2.5723046763930624,8637.799103327903
replied,491,0.0006645903294662,10.55524707919567,7,"{'VBP', 'VB', 'JJ', 'VBD', 'NN', 'VBZ', 'VBN'}",VBD,0,repli,repli,reply,7,0.6085244584360674,290.26616667400504,0.4144496719480447,1.795948578441527,477,5.387845735324581,2570.002415749825
there,3214,0.0043502918918626,7.844672079835269,5,"{'NNP', 'VBP', 'IN', 'EX', 'VB', 'JJ', 'VBD', 'NNS', 'NN', 'RB', 'VBN'}",EX,1,there,there,ther,11,0.12670724473396863,283.19069198041996,0.06722621436722155,1.5798160376297063,2235,3.1596320752594127,7061.777688204787
have,5265,0.0071264115776778,7.132608477597284,4,"{'NNP', 'VBP', 'CD', 'VB', 'JJ', 'VBD', 'NN', 'RBR'}",VBP,1,have,have,hav,8,0.0917432192024498,282.3856287051381,0.05995363722226405,1.348956837500941,3078,2.697913675001882,8304.178291655793
mean,866,0.0011721695016655,9.736603078783638,4,"{'VBP', 'VB', 'JJ', 'VBD', 'NN'}",VBP,0,mean,mean,mean,5,0.34063153511460603,271.48333348634094,0.17874058758998543,1.5490850924465402,797,4.647255277339621,3703.862456039678
as,6076,0.0082241361340875,6.92592013900828,2,"{'NNP', 'IN', 'VBP', 'POS', 'MD', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'RB'}",IN,1,as,as,as,11,0.08585683200057738,269.0753114898094,0.05664880047203147,0.8906339089525042,3134,2.6719017268575125,8373.740011971444
but,5502,0.0074472016145078,7.0690858691941525,3,"{'NNP', 'POS', 'IN', 'VBP', 'CD', 'VB', 'JJ', 'NNS', 'NN', 'CC', 'VBZ', 'RB'}",CC,1,but,but,but,12,0.07264116669954115,264.77705261982675,0.04907976184231586,1.2269940460578965,3645,2.453988092115793,8944.786595762065
would,2717,0.0036775802956411,8.087027443288388,5,"{'NNP', 'VBP', 'IN', 'MD', 'JJ', 'VB', 'VBD', 'NN', 'VBZ'}",MD,0,would,would,would,9,0.14062284036295156,263.8084485208978,0.08530617697036791,1.706123539407358,1876,3.412247078814716,6401.375519856407
one,4191,0.0056727048284991,7.461747487379744,3,"{'NNP', 'IN', 'VBP', 'POS', 'CD', 'RP', 'JJ', 'VB', 'NNS', 'JJR', 'NN', 'RB', 'VBN'}",CD,0,one,one,on,13,0.0992081887491104,257.842082558938,0.06537667273017539,1.470975136428946,2599,2.941950272857892,7646.128759157662
say,2357,0.0031903042903298,8.292090250260197,3,"{'NNP', 'VBP', 'IN', 'VB', 'JJ', 'VBD', 'NN', 'CC', 'VBZ', 'RB'}",VB,0,say,say,say,10,0.13220748637413182,257.6723909431833,0.07629938218345915,1.1190576053574008,1949,3.3571728160722025,6543.129818524722
all,3694,0.0049999932322777,7.643858142527925,3,"{'NNP', 'VBP', 'IN', 'POS', 'VBG', 'RP', 'CD', 'PDT', 'JJ', 'VB', 'NNS', 'NN', 'FW', 'RB', 'DT', 'VBN'}",DT,1,all,all,al,16,0.10742131325674818,252.65492877987182,0.057148497157291256,1.543009423246864,2352,3.086018846493728,7258.316326953249
should,1854,0.0025094714273532,8.638400764884834,6,"{'VBP', 'MD', 'VB', 'VBD', 'NN'}",MD,1,should,should,should,5,0.17956764224915064,242.23674939410438,0.0793472767016699,1.9440082791909126,1349,3.888016558381825,5244.934337257082
by,4135,0.005596906338784,7.481154679451726,2,"{'IN', 'POS', 'CD', 'VB', 'NNS', 'NN'}",IN,1,by,by,by,6,0.10346885930335435,240.8755044582086,0.053462342214169116,1.0336052828072695,2328,3.1008158484218087,7218.699295125971
stranger,1261,0.0017068195630487,9.194473733182145,8,"{'NNP', 'VBP', 'PDT', 'VB', 'JJ', 'NNS', 'NN', 'RB'}",NNP,0,stranger,stranger,stranger,8,0.19107067932149,235.01693556543322,0.15466340735013426,2.0106242955517453,1230,4.0212485911034905,4946.135767057293
phaedrus,248,0.0003356790258811,11.540629983123488,8,"{'NNP', 'VBG', 'VB', 'NN', 'VBN'}",NNP,0,phaedru,phaedrus,phaedr,5,0.9792312353930818,235.01549649433977,0.5315667163101312,3.189400297860787,240,6.378800595721574,1530.9121429731779
if,4332,0.005863554597246,7.414008765902036,2,"{'NNP', 'IN', 'VBP', 'POS', 'PRP', 'CD', 'VB', 'JJ', 'NNS', 'NN', 'VBZ', 'CC', 'RB'}",IN,1,if,if,if,13,0.0867944189368119,234.60531438620308,0.06272489988685648,0.9617817982651325,2703,2.8853453947953978,7799.08860213196
most,922,0.0012479679913806,9.646203353081026,4,"{'NNP', 'RBS', 'VB', 'JJS', 'JJ', 'NNS', 'NN', 'VBZ', 'VBN'}",RBS,1,most,most,most,9,0.31391661461629816,233.2400446599092,0.07537258398081739,2.374236395395748,743,4.748472790791496,3528.1152835580815
right,745,0.0010083906221025,9.95372967816084,5,"{'NNP', 'VBP', 'VBG', 'MD', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'VBZ', 'RB', 'VBN'}",JJ,0,right,right,right,12,0.35492713314032676,228.57307374237047,0.12084815398086525,4.954774313215475,644,4.954774313215475,3190.8746577107663
them,4691,0.0063494770580981,7.299146508014382,4,"{'IN', 'VBP', 'VBG', 'PRP', 'RP', 'VB', 'JJ', 'VBD', 'NNS', 'NN', 'CC', 'VBZ', 'RB', 'VBN'}",PRP,1,them,them,them,14,0.09335333317922574,228.248899623208,0.06242621511787076,1.0100241471634988,2445,3.0300724414904963,7408.527119444263
hippias,166,0.0002246883802268,12.11978686216344,7,"{'NNP', 'NN', 'VBN'}",NNP,0,hippia,hippia,hippia,3,1.410532221747141,221.45355881430095,0.9987243489197808,3.495535221219233,157,6.991070442438466,1097.598059462839
why,563,0.0007620455305285,10.357835181430136,3,"{'NNP', 'IN', 'VBP', 'POS', 'WP', 'CD', 'PDT', 'JJ', 'VB', 'VBD', 'NNS', 'WRB', 'NN', 'VBZ', 'RB'}",WRB,1,whi,whi,why,15,0.4216701276198345,220.5334767451734,0.15455953103185738,5.255024055083151,523,5.255024055083151,2748.377580808488
who,4087,0.0055319362047425,7.497999765489705,3,"{'NNP', 'VBP', 'POS', 'IN', 'WP', 'PRP', 'VB', 'JJ', 'VBD', 'NNS', 'WRB', 'NN', 'VBZ'}",WP,1,who,who,who,13,0.09722428683952843,213.99065533380167,0.06003297663091576,1.5908738807192677,2201,3.1817477614385354,7003.0268229262165
must,1577,0.0021345396121553,8.871859348719854,4,"{'NNP', 'VBP', 'MD', 'PRP', 'VBD', 'NN', 'VBZ', 'RB'}",MD,0,must,must,must,8,0.16418752205837722,213.443778675891,0.08211240173779741,1.9706976417071378,1300,3.9413952834142756,5123.8138684385585
cannot,715,0.0009677842883266,10.013026861844612,6,"{'NNP', 'VBP', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'VBZ', 'RB'}",VBP,0,cannot,cannot,cannot,9,0.33061122324928,212.58301654928704,0.0991403252800429,2.4785081320010725,643,4.957016264002145,3187.361457753379
this,3845,0.0052043784456166,7.586058410661175,4,"{'NNP', 'IN', 'VBP', 'POS', 'EX', 'PRP', 'CD', 'JJ', 'VB', 'VBD', 'NNS', 'NN', 'CC', 'VBZ', 'RB', 'DT', 'VBN'}",DT,1,thi,this,thi,17,0.08133980219152176,209.04329163221087,0.0493023091208142,0.986046182416284,2570,2.958138547248852,7602.41606642955
think,1015,0.001373847626086,9.507562281437824,5,"{'NNP', 'VBP', 'IN', 'WDT', 'VB', 'JJ', 'VBD', 'NN'}",VBP,0,think,think,think,8,0.22097125383771773,208.15492111513035,0.11015269854293273,1.468702647239103,942,4.406107941717309,4150.5536810977055
euthyphro,161,0.0002179206579308,12.163909415395748,9,"{'NNP', 'IN', 'VB', 'NNS', 'NN', 'RB'}",NNP,0,euthyphro,euthyphro,euthyphro,6,1.3013352159240519,205.6109641160001,0.736979435666149,3.490955221576495,158,6.98191044315299,1103.1418500181724
gorgias,182,0.000246345091574,11.987031653311668,7,"{'NNP', 'VB', 'VBN'}",NNP,0,gorgia,gorgia,gorgia,3,1.1809475742564457,201.9420351978522,0.4039905103790703,3.4339193382220974,171,6.867838676444195,1174.4004136719573
assuredly,66,8.933393430707322e-05,13.45043217415191,9,"{'NNP', 'IN', 'JJ', 'NN', 'RB'}",RB,0,assuredli,assur,ass,5,3.055128256651596,201.63846493900544,2.747099023990546,8.241297071971639,66,8.241297071971639,543.9256067501282
for,4971,0.0067284695066736,7.215505905567755,3,"{'NNP', 'IN', 'VBP', 'POS', 'MD', 'JJ', 'VB', 'VBD', 'NNS', 'LS', 'NN', 'CC', 'VBZ', 'RB'}",IN,1,for,for,for,14,0.07052558077761825,201.63263544321094,0.050078505119624896,0.7010990716747486,2859,2.8043962866989944,8017.768983672425
megillus,161,0.0002179206579308,12.163909415395748,8,"{'NNS', 'NNP', 'NN'}",NNP,0,megillu,megillus,megill,3,1.2440362024032465,199.04579238451936,0.7350638824022881,3.481881548221365,160,6.96376309644273,1114.2020954308368
with,3490,0.0047238701626012,7.725814972413349,4,"{'IN', 'VB', 'JJ', 'NNS', 'NN', 'RB'}",IN,1,with,with,with,6,0.0920867636623512,198.63114921969023,0.052637389019174405,1.0702935767232127,2157,3.2108807301696385,6925.86973497591
was,2671,0.003615317250518,8.111662032875254,3,"{'NNP', 'VBP', 'IN', 'POS', 'MD', 'VB', 'JJ', 'VBD', 'NNS', 'NN', 'VBZ', 'RBR'}",VBD,1,wa,was,was,12,0.1405034101520814,196.70477421291434,0.0778594697651061,1.9172400397488818,1400,3.8344800794977636,5368.272111296869
can,1614,0.0021846207571456,8.838401430232583,3,"{'NNP', 'VBP', 'IN', 'MD', 'VB', 'JJ', 'VBD', 'NN', 'VBZ'}",MD,1,can,can,can,9,0.14350764227546825,192.01322536457684,0.0829750806529496,1.9499143953443159,1338,3.8998287906886318,5217.970921941389
other,2963,0.0040105522326039,7.961983382549081,5,"{'NNP', 'IN', 'POS', 'PRP', 'JJ', 'VB', 'VBD', 'NNS', 'JJR', 'NN', 'VBZ', 'FW', 'VBN'}",JJ,1,other,other,oth,13,0.09107103663595678,189.1545430928829,0.05630009811181802,1.6327028452427226,2077,3.265405690485445,6782.247619138269
has,2554,0.0034569525487918,8.176283483807639,3,"{'NNP', 'POS', 'VBP', 'PRP', 'VB', 'VBD', 'NN', 'VBZ'}",VBZ,1,ha,has,has,8,0.10757955709078061,186.22021332414195,0.06300537824934739,1.764150590981727,1731,3.528301181963454,6107.489345978739
me,1882,0.0025473706722107,8.616775380781826,2,"{'VBP', 'IN', 'MD', 'RBS', 'JJ', 'JJS', 'VBD', 'NNP', 'VBG', 'FW', 'VBN', 'PRP', 'RP', 'VB', 'NNS', 'JJR', 'NN', 'VBZ', 'RBR', 'RB', 'POS'}",PRP,1,me,me,me,21,0.14307297231771357,183.84876942826244,0.09204973365695004,1.3193795157496173,1285,3.958138547248852,5086.208033214774
may,2416,0.0032701634134225,8.256421554185284,3,"{'NNP', 'VBP', 'MD', 'PRP', 'VB', 'JJ', 'VBD', 'NNS', 'NN', 'VBZ'}",MD,0,may,may,may,10,0.10689795183162303,183.11619148757057,0.06109278888355334,1.771690877623047,1713,3.543381755246094,6069.812946736559
boy,93,0.0001258796347054,12.955667482402331,3,"{'NNP', 'IN', 'VB', 'JJ', 'NN'}",NNP,0,boy,boy,boy,5,2.0124029878090335,181.11626890281286,2.273202777708455,3.8969190475002087,90,7.793838095000417,701.4454285500376
sure,221,0.0002991333254827,11.706923734118933,4,"{'RB', 'JJ', 'NN', 'VBN'}",JJ,0,sure,sure,sur,4,0.804046274276698,176.89018034087337,0.5420276231504527,2.168110492601811,220,6.504331477805433,1430.9529251171953
cratylus,125,0.0001691930573997,12.529042008848275,8,"{'NNP', 'VB', 'NN', 'JJ'}",NNP,0,cratylu,cratylus,cratyl,4,1.466588908704069,173.05749122708016,0.9253810177460314,3.7015240709841257,118,7.4030481419682514,873.5596807522537
indeed,341,0.0004615586605865,11.081198364486193,6,"{'NNP', 'VBP', 'IN', 'JJ', 'VB', 'NNS', 'NN', 'VBZ', 'RB', 'VBN'}",NN,0,inde,inde,indee,10,0.5129715751201874,170.81953451502264,0.17897917649269185,2.9531564121294154,333,5.906312824258831,1966.8021704781906
us,1965,0.0026597148623242,8.554512696364394,2,"{'NNP', 'IN', 'VBP', 'PRP', 'RP', 'JJ', 'VB', 'NNS', 'NN', 'VBZ', 'RB'}",PRP,0,us,us,us,11,0.1184113134551686,169.32817824089184,0.0732929842317268,1.2679639198881136,1430,3.803891759664341,5439.5652163200075
